bookID,title,authors,average_rating,isbn,language_code,ratings_count,price
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,eng,1944099,230
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,eng,1996446,231
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,eng,5629932,232
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,eng,6267,233
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,eng,2149872,234
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,439682584,eng,38872,235
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,976540606,en-US,18,236
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,eng,27410,237
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,eng,3602,238
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,eng,240189,239
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,eng,4416,240
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,eng,1222,241
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,en-US,2801,242
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,eng,228522,243
22,Bill Bryson's African Diary,Bill Bryson,3.43,767915062,eng,6993,244
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,eng,2020,245
24,In a Sunburned Country,Bill Bryson,4.07,767903862,eng,68213,246
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,eng,47490,247
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,en-US,43779,248
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,eng,46397,249
28,Notes from a Small Island,Bill Bryson,3.92,380727501,eng,76476,250
